iter	Passed	Remaining
1387	20493	23800
1388	20506	23784
1389	20519	23767
1390	20532	23750
1391	20544	23732
1392	20557	23715
1393	20570	23698
1394	20583	23682
1395	20596	23664
1396	20608	23647
1397	20622	23631
1398	20635	23614
1399	20648	23598
1400	20663	23583
1401	20677	23567
1402	20691	23552
1403	20705	23537
1404	20719	23521
1405	20734	23506
1406	20747	23489
1407	20763	23477
1408	20776	23460
1409	20792	23446
1410	20806	23431
1411	20819	23414
1412	20833	23399
1413	20846	23382
1414	20859	23365
1415	20871	23348
1416	20884	23331
1417	20896	23313
1418	20914	23301
1419	20928	23286
1420	20940	23268
1421	20953	23252
1422	20965	23234
1423	20978	23217
1424	20991	23201
1425	21005	23185
1426	21018	23168
1427	21032	23152
1428	21044	23136
1429	21059	23120
1430	21072	23104
1431	21084	23087
1432	21097	23070
1433	21112	23056
1434	21128	23043
1435	21142	23026
1436	21155	23010
1437	21168	22993
1438	21183	22978
1439	21195	22961
1440	21211	22948
1441	21224	22931
1442	21238	22916
1443	21251	22899
1444	21264	22883
1445	21277	22866
1446	21290	22849
1447	21304	22834
1448	21316	22816
1449	21329	22800
1450	21346	22788
1451	21360	22773
1452	21377	22760
1453	21392	22745
1454	21405	22729
1455	21418	22713
1456	21431	22696
1457	21443	22679
1458	21456	22662
1459	21469	22645
1460	21483	22630
1461	21496	22613
1462	21510	22598
1463	21525	22583
1464	21538	22567
1465	21553	22553
1466	21565	22536
1467	21580	22521
1468	21593	22505
1469	21606	22488
1470	21620	22472
1471	21636	22460
1472	21651	22445
1473	21667	22431
1474	21682	22417
1475	21696	22401
1476	21709	22385
1477	21721	22368
1478	21735	22352
1479	21751	22338
1480	21763	22322
1481	21778	22307
1482	21791	22290
1483	21804	22274
1484	21817	22258
1485	21834	22245
1486	21845	22227
1487	21858	22211
1488	21872	22195
1489	21885	22178
1490	21899	22164
1491	21912	22147
1492	21926	22131
1493	21938	22115
1494	21951	22098
1495	21965	22083
1496	21979	22067
1497	21995	22053
1498	22009	22038
1499	22022	22022
1500	22035	22006
1501	22049	21990
1502	22062	21974
1503	22075	21957
1504	22088	21941
1505	22101	21925
1506	22114	21908
1507	22130	21895
1508	22143	21879
1509	22156	21863
1510	22170	21847
1511	22183	21831
1512	22195	21814
1513	22210	21800
1514	22223	21783
1515	22237	21768
1516	22251	21752
1517	22264	21736
1518	22276	21719
1519	22289	21703
1520	22302	21686
1521	22316	21671
1522	22328	21654
1523	22343	21639
1524	22355	21622
1525	22369	21607
1526	22384	21592
1527	22398	21577
1528	22411	21561
1529	22425	21546
1530	22438	21530
1531	22452	21514
1532	22465	21497
1533	22476	21480
1534	22489	21463
1535	22501	21446
1536	22514	21430
1537	22527	21413
1538	22538	21396
1539	22553	21381
1540	22565	21364
1541	22577	21347
1542	22590	21331
1543	22602	21314
1544	22616	21299
1545	22630	21283
1546	22645	21269
1547	22657	21252
1548	22669	21235
1549	22682	21218
1550	22695	21203
1551	22708	21186
1552	22723	21172
1553	22736	21156
1554	22750	21140
1555	22763	21125
1556	22776	21109
1557	22790	21093
1558	22802	21076
1559	22817	21062
1560	22831	21046
1561	22844	21030
1562	22859	21016
1563	22873	21001
1564	22886	20985
1565	22900	20970
1566	22914	20955
1567	22927	20939
1568	22943	20925
1569	22957	20910
1570	22971	20894
1571	22985	20880
1572	23000	20865
1573	23015	20851
1574	23029	20835
1575	23043	20821
1576	23059	20807
1577	23074	20793
1578	23089	20779
1579	23103	20764
1580	23118	20749
1581	23132	20734
1582	23146	20719
1583	23158	20702
1584	23172	20687
1585	23185	20671
1586	23199	20655
1587	23214	20641
1588	23227	20625
1589	23242	20610
1590	23255	20595
1591	23271	20581
1592	23285	20566
1593	23300	20552
1594	23314	20537
1595	23328	20521
1596	23342	20507
1597	23357	20492
1598	23374	20479
1599	23387	20464
1600	23401	20449
1601	23415	20433
1602	23429	20418
1603	23443	20403
1604	23456	20387
1605	23470	20372
1606	23486	20358
1607	23502	20345
1608	23515	20329
1609	23528	20313
1610	23543	20298
1611	23557	20284
1612	23571	20268
1613	23585	20253
1614	23598	20238
1615	23612	20222
1616	23625	20206
1617	23639	20191
1618	23652	20175
1619	23664	20158
1620	23678	20143
1621	23693	20129
1622	23718	20123
1623	23732	20108
1624	23745	20091
1625	23759	20077
1626	23771	20060
1627	23784	20044
1628	23798	20029
1629	23812	20013
1630	23825	19997
1631	23839	19983
1632	23853	19967
1633	23866	19952
1634	23884	19939
1635	23902	19928
1636	23921	19917
1637	23937	19904
1638	23952	19889
1639	23967	19875
1640	23981	19860
1641	23994	19844
1642	24010	19830
1643	24022	19814
1644	24036	19799
1645	24051	19784
1646	24063	19767
1647	24077	19753
1648	24090	19736
1649	24104	19722
1650	24119	19707
1651	24137	19695
1652	24151	19680
1653	24163	19664
1654	24177	19648
1655	24191	19633
1656	24205	19618
1657	24220	19604
1658	24234	19589
1659	24248	19573
1660	24260	19557
1661	24275	19542
1662	24288	19527
1663	24301	19511
1664	24315	19495
